system:index,B1,B2,B3,B4,B5,B6,B7,Class,.geo
0_130_0,0.18436892,0.17497422,0.17034929,0.18030064,0.19595508,0.2049239,0.18804154,0.0,
0_131_0,0.18117659,0.16840732,0.15748902,0.16158466,0.20062095,0.1504811,0.10872513,0.0,
0_132_0,0.17218825,0.16321042,0.16482711,0.1745539,0.23550475,0.2352713,0.19547299,0.0,
0_133_0,0.21214698,0.20623796,0.2008297,0.20883478,0.2256996,0.19462939,0.15969077,0.0,
0_134_0,0.14054175,0.12176802,0.106179655,0.09975884,0.1690736,0.12813067,0.09794799,0.0,
0_135_0,0.2562594,0.25762334,0.26854968,0.29536846,0.33820498,0.3115957,0.21919626,0.0,
0_136_0,0.13855226,0.1200217,0.10384919,0.10341418,0.18377735,0.16380847,0.11779737,0.0,
0_137_0,0.16917747,0.1561701,0.15198062,0.15960264,0.20406185,0.18519688,0.16465642,0.0,
0_138_0,0.16933596,0.15592362,0.14501905,0.15100482,0.16301478,0.18272837,0.17187342,0.0,
0_139_0,0.19768026,0.18753906,0.18050234,0.18663822,0.20476377,0.19033568,0.16590326,0.0,
0_140_0,0.16975695,0.15511501,0.13901404,0.14612962,0.173312,0.17886403,0.15267906,0.0,
0_141_0,0.22368741,0.22227272,0.23576784,0.25284728,0.26925606,0.29030997,0.26186624,0.0,
0_142_0,0.17782922,0.16618559,0.14868121,0.15342458,0.18125969,0.16947047,0.13220833,0.0,
0_143_0,0.24032736,0.23689601,0.23596396,0.24892536,0.264882,0.26663813,0.22999014,0.0,
0_144_0,0.2019329,0.19389202,0.1886236,0.1958842,0.23999712,0.248846,0.2236985,0.0,
0_145_0,0.16187088,0.14852783,0.14622019,0.15352605,0.22957872,0.21104378,0.16367988,0.0,
0_146_0,0.14168046,0.12508687,0.11167872,0.119694985,0.16756758,0.22441524,0.19979712,0.0,
0_147_0,0.14791897,0.12605205,0.09912489,0.0885969,0.080811664,0.0766982,0.07484402,0.0,
0_148_0,0.1543968,0.14073782,0.13227129,0.14068936,0.17158274,0.18452936,0.14863238,0.0,
0_149_0,0.16667947,0.14931548,0.1305218,0.12873615,0.1340243,0.12987952,0.10984135,0.0,
0_150_0,0.16259092,0.14883345,0.15082651,0.15803516,0.20572244,0.15151788,0.12539,0.0,
0_151_0,0.17367287,0.15996332,0.14743054,0.1477452,0.17574874,0.16413257,0.13937646,0.0,
0_152_0,0.14581417,0.12755524,0.11881764,0.12395084,0.2091637,0.17072287,0.12963513,0.0,
0_153_0,0.17158633,0.15609954,0.14153764,0.14155796,0.16281505,0.14751129,0.12530896,0.0,
0_154_0,0.16030505,0.15083008,0.15318227,0.17678554,0.26389605,0.31170234,0.2452327,0.0,
0_155_0,0.19020921,0.17871287,0.1711513,0.1777231,0.18378457,0.16537349,0.13258201,0.0,
0_156_0,0.15248841,0.1372245,0.121871814,0.113445885,0.22406553,0.147225,0.10061213,0.0,
0_157_0,0.1723755,0.15554985,0.14342844,0.14243351,0.14375857,0.13172632,0.10928757,0.0,
0_158_0,0.21026489,0.20334214,0.19740582,0.2009799,0.24525388,0.19027151,0.15438452,0.0,
0_159_0,0.19773217,0.18926737,0.17960435,0.18527144,0.20132525,0.18836695,0.16476062,0.0,
0_160_0,0.18060732,0.16889006,0.16221124,0.16882344,0.22991791,0.20414375,0.16114324,0.0,
0_161_0,0.17166959,0.15765029,0.14723177,0.14717723,0.16957992,0.1632412,0.13784212,0.0,
0_162_0,0.18891403,0.1786059,0.17016363,0.17781138,0.1886638,0.18283205,0.15687683,0.0,
0_163_0,0.19718976,0.18992184,0.19014713,0.20175864,0.23571077,0.23364472,0.19649655,0.0,
0_164_0,0.17197224,0.15943018,0.14955133,0.15503395,0.18432997,0.18856834,0.16458099,0.0,
0_165_0,0.21263652,0.20662007,0.20370252,0.216196,0.23212577,0.22667052,0.18572167,0.0,
0_166_0,0.16162339,0.14785737,0.13881753,0.15199547,0.19686204,0.2066381,0.17116861,0.0,
0_167_0,0.19446197,0.18353075,0.17075528,0.17190342,0.18448673,0.15993556,0.13665995,0.0,
0_168_0,0.20845821,0.20543377,0.20737162,0.22805564,0.24570775,0.25720736,0.22809502,0.0,
0_169_0,0.2613466,0.26273137,0.26803914,0.28245166,0.28200945,0.28597882,0.23884636,0.0,
0_170_0,0.17999381,0.17011511,0.16452381,0.17190056,0.18222985,0.20281532,0.18420851,0.0,
0_171_0,0.2784113,0.28189588,0.30077806,0.31992823,0.34291536,0.29301605,0.18288995,0.0,
